distance,velocity,root
1.6,8.1,62.86102294921875
1.6,8.2,62.51220703125
1.6,8.3,62.18536376953125
1.6,8.4,61.88323974609375
1.6,8.5,61.600341796875
1.6,8.6,61.33392333984375
1.6,8.7,61.083984375
1.6,8.8,60.8477783203125
1.6,8.9,60.62255859375
1.6,9,60.41107177734375
1.6,9.1,60.2105712890625
1.6,9.2,60.018310546875
1.6,9.3,59.835662841796875
1.6,9.4,59.6612548828125
1.6,9.5,59.4964599609375
1.6,9.6,59.337158203125
1.6,9.7,59.183349609375
1.6,9.8,59.03778076171875
1.6,9.9,58.897705078125
1.6,10,58.76312255859375
1.6,10.1,58.634033203125
1.6,10.2,58.51043701171875
1.6,10.3,58.390960693359375
1.6,10.4,58.275604248046875
1.6,10.5,58.16436767578125
1.6,10.6,58.0572509765625
1.6,10.7,57.95562744140625
1.6,10.8,57.85400390625
1.6,10.9,57.75787353515625
1.6,11,57.667236328125
1.6,11.1,57.57659912109375
1.6,11.2,57.48870849609375
1.6,11.3,57.403564453125
1.6,11.4,57.32391357421875
1.6,11.5,57.2442626953125
1.6,11.6,57.1673583984375
1.6,11.7,57.09320068359375
1.6,11.8,57.02178955078125
1.6,11.9,56.95037841796875
1.6,12,56.883087158203125
